id,category,name,aliases,popularity_rank,complaint_email,complaint_url,contact_method,verification_status,last_checked,source_url
barclays,finance,Barclays,"barclays bank",1,,https://www.barclays.co.uk/help/complaints/,Official complaints route,official-route-only,,https://www.barclays.co.uk/help/complaints/
lloyds-bank,finance,Lloyds Bank,"lloyds",2,,https://www.lloydsbank.com/help-guidance/complaints.html,Official complaints route,official-route-only,,https://www.lloydsbank.com/help-guidance/complaints.html
natwest,finance,NatWest,"nat west rbs royal bank of scotland",3,,https://www.natwest.com/support-centre/how-to-complain.html,Official complaints route,official-route-only,,https://www.natwest.com/support-centre/how-to-complain.html
hsbc,finance,HSBC,"hsbc uk",4,,https://www.hsbc.co.uk/help/complaints/,Official complaints route,official-route-only,,https://www.hsbc.co.uk/help/complaints/
nationwide,finance,Nationwide,"nationwide building society",5,,https://www.nationwide.co.uk/help/complaints/,Official complaints route,official-route-only,,https://www.nationwide.co.uk/help/complaints/
santander,finance,Santander,"santander uk",6,,https://www.santander.co.uk/personal/support/customer-support/complaints,Official complaints route,official-route-only,,https://www.santander.co.uk/personal/support/customer-support/complaints
halifax,finance,Halifax,"halifax bank",7,,https://www.halifax.co.uk/helpcentre/complaints.html,Official complaints route,official-route-only,,https://www.halifax.co.uk/helpcentre/complaints.html
monzo,finance,Monzo,"monzo bank",8,,https://monzo.com/help/complaints,Official complaints route,official-route-only,,https://monzo.com/help/complaints
starling,finance,Starling Bank,"starling",9,,https://www.starlingbank.com/help/complaints/,Official complaints route,official-route-only,,https://www.starlingbank.com/help/complaints/
revolut,finance,Revolut,"revolut uk",10,,https://help.revolut.com/help/profile-and-plan/profile-plan/complaints/,Official complaints route,official-route-only,,https://help.revolut.com/help/profile-and-plan/profile-plan/complaints/
amex,finance,American Express,"amex",11,,https://www.americanexpress.com/uk/customer-service/faq.complaints.html,Official complaints route,official-route-only,,https://www.americanexpress.com/uk/customer-service/faq.complaints.html
paypal,finance,PayPal,"paypal uk",12,,https://www.paypal.com/uk/cshelp/article/how-do-i-make-a-complaint-help201,Official complaints route,official-route-only,,https://www.paypal.com/uk/cshelp/article/how-do-i-make-a-complaint-help201
klarna,finance,Klarna,"klarna uk",13,,https://www.klarna.com/uk/customer-service/how-do-i-make-a-complaint/,Official complaints route,official-route-only,,https://www.klarna.com/uk/customer-service/how-do-i-make-a-complaint/
bet365,gambling,bet365,"bet 365",1,,https://help.bet365.com/,Official operator complaints route,official-route-only,,https://help.bet365.com/
betfred,gambling,Betfred,"bet fred",2,,https://www.betfred.com/,Official operator complaints route,official-route-only,,https://www.betfred.com/
william-hill,gambling,William Hill,"williamhill",3,,https://news.williamhill.com/,Official operator complaints route,official-route-only,,https://news.williamhill.com/
ladbrokes,gambling,Ladbrokes,"ladbrokes entain",4,,https://help.ladbrokes.com/,Official operator complaints route,official-route-only,,https://help.ladbrokes.com/
coral,gambling,Coral,"coral entain",5,,https://help.coral.co.uk/,Official operator complaints route,official-route-only,,https://help.coral.co.uk/
sky-bet,gambling,Sky Bet,"skybet sky bet",6,,https://support.skybet.com/,Official operator complaints route,official-route-only,,https://support.skybet.com/
paddy-power,gambling,Paddy Power,"paddypower",7,,https://www.paddypower.com/,Official operator complaints route,official-route-only,,https://www.paddypower.com/
betfair,gambling,Betfair,"bet fair",8,,https://support.betfair.com/,Official operator complaints route,official-route-only,,https://support.betfair.com/
pokerstars,gambling,PokerStars,"poker stars",9,,https://www.pokerstars.uk/,Official operator complaints route,official-route-only,,https://www.pokerstars.uk/
888,gambling,888,"888casino 888sport",10,,https://www.888casino.com/,Official operator complaints route,official-route-only,,https://www.888casino.com/
